"Harapan_Lama_Sekolah","Pengeluaran_Perkapita","Rerata_Lama_Sekolah","Usia_Harapan_Hidup","IPM"
"14:36","9572","9:37","69.96","High"
"13:09","7148","9:48","65:28:00","Normal"
"14:32","8776","0.38055555555556","67:43:00","Normal"
"14:06","8180","0.39444444444444","64:04:00","Normal"
"14:01","8030","0.42152777777778","68:22:00","Normal"
"13:04","8577","8:21","68.74","Normal"
"14:28","10780","0.43472222222222","68.86","High"
"0.62569444444444","9593","9:55","67.99","High"
"0.63402777777778","9644","10:33","69.79","High"
"14:47","9860","9","66.95","High"
"0.64166666666667","8867","9:29","71:26:00","High"
"0.63263888888889","8201","0.37777777777778","68.81","Normal"
"0.58680555555556","8428","0.37986111111111","65:06:00","Normal"
"0.59583333333333","8856","8:04","65:53:00","Normal"
"0.59444444444444","8367","0.39652777777778","69.63","Normal"
"14:14","8292","0.38125","69:24:00","Normal"
"0.61041666666667","9666","0.38263888888889","67:19:00","Normal"
"13:47","11118","10","69:26:00","High"
"0.65069444444444","10290","9:34","70:18:00","High"
"17:08","16891","0.55763888888889","71:52:00","Very-High"
"14:13","11378","11:18","70:56:00","High"
"0.66875","12067","11:12","69:43:00","High"
"15:21","11390","11:11","71.64","High"
"0.62638888888889","7385","8:03","64:07:00","Normal"
"13:27","10499","9:58","69:23:00","High"
"0.55833333333333","6995","0.25277777777778","69.78","Normal"
"0.58402777777778","9771","0.37708333333333","62.65","Normal"
"13:35","11304","9:29","64.97","High"
"13:07","10138","0.39166666666667","67:24:00","Normal"
"13:07","11710","0.44375","68.76","High"
"13:46","12224","10:57","70:29:00","High"
"0.55138888888889","11212","9:25","69.95","High"
"0.54236111111111","11030","8:08","68:37:00","High"
"0.55486111111111","11376","0.41736111111111","71:37:00","High"
"13:11","10504","9:59","69:19:00","High"
"0.55347222222222","12412","10","71:58:00","High"
"13:36","12291","10:01","71.77","High"
"13:24","11142","0.37916666666667","68.97","High"
"12:27","7041","6:06","68.86","Normal"
"13:29","8016","0.42430555555556","69:51:00","Normal"
"0.60208333333333","8254","9:14","65.96","Normal"
"13:48","8504","9:44","71:41:00","High"
"0.54236111111111","11017","0.38125","68.82","High"
"0.54444444444444","10539","8:07","67:13:00","Normal"
"13:04","10055","9:38","67:22:00","High"
"13:27","8921","9:02","67:13:00","Normal"
"13:01","11562","8:09","68.81","High"
"13:19","11840","8:41","69:56:00","High"
"13:04","6155","0.30347222222222","69:55:00","Normal"
"0.56597222222222","5924","0.29791666666667","69:08:00","Normal"
"13:28","11540","10:41","69:25:00","High"
"0.54305555555556","11225","9:45","63:44:00","Normal"
"14:57","12436","11:29","73.77","High"
"0.55069444444444","12939","10:44","70.95","High"
"0.63541666666667","14999","11:48","73:23:00","Very-High"
"0.58541666666667","11063","0.48194444444444","72:45:00","High"
"14:56","10965","11:09","69:05:00","High"
"0.59375","8134","0.37638888888889","71:32:00","Normal"
"14:09","10790","9:07","69:59:00","High"
"0.56180555555556","6321","7:02","64.73","Normal"
"13:33","9270","8:27","70.96","High"
"13:05","10215","0.35208333333333","68.79","Normal"
"12:38","10389","8:12","66:36:00","Normal"
"14:34","10616","0.37638888888889","70:12:00","High"
"0.58888888888889","11050","0.35277777777778","68.97","High"
"0.60277777777778","9662","0.40069444444444","72:53:00","High"
"13:03","9668","8:07","69.84","Normal"
"0.55625","8440","8:01","67:59:00","Normal"
"0.55","10367","8:32","68:01:00","Normal"
"12:44","11324","8:55","71:53:00","High"
"0.58888888888889","9089","8:27","67.94","Normal"
"16:53","14540","11:59","73.69","Very-High"
"14:33","12168","11:04","73.73","High"
"13:18","10195","10:32","70:01:00","High"
"15:07","10754","0.50208333333333","72.82","High"
